title,detail_url,area,community,total_price_wan,unit_price,house_info,follow_info
近地铁近万达，精装修全明三房，100平院子！！！,https://sh.ke.com/ershoufang/107114198601.html,,民主新苑,490万,"51,787元/平",低楼层 (共6层) | 2001年 | 3室2厅 | 94.62平米 | 南 北,169人关注 / 4月前发布
世茂滨江全明户型，落地窗森系景观，正南大客厅！,https://sh.ke.com/ershoufang/107114117310.html,,世茂滨江花园,1249万,"87,221元/平",低楼层 (共43层) | 2004年 | 2室2厅 | 143.2平米 | 东 南,172人关注 / 5月前发布
老西门板块南北通大两房，大横厅看三件套,https://sh.ke.com/ershoufang/107113993838.html,,蓬莱大厦,818万,"69,927元/平",中楼层 (共26层) | 2002年 | 2室2厅 | 116.98平米 | 南,139人关注 / 5月前发布
店长优选三房低楼层 近地铁 医院 看房提前联系 位置好,https://sh.ke.com/ershoufang/107113771683.html,,宝钢九村,309万,"34,178元/平",低楼层 (共6层) | 1995年 | 3室2厅 | 90.41平米 | 南,45人关注 / 6月前发布
三房一卫好楼层，精装修，业主诚意出售,https://sh.ke.com/ershoufang/107113684905.html,,宝山天铂,186万,"22,372元/平",中楼层 (共16层) | 2023年 | 3室2厅 | 83.14平米 | 北 南,83人关注 / 7月前发布
新天地一路之隔+出门地铁+99年商品房,https://sh.ke.com/ershoufang/107114216922.html,,恒升大厦,543万,"67,892元/平",中楼层 (共26层) | 1999年 | 2室2厅 | 79.98平米 | 东 东南,98人关注 / 4月前发布
新城2期精装景观房60米楼间距三房带泳池会所高区,https://sh.ke.com/ershoufang/107114169575.html,新城2期精装景观房60米楼间距三房带泳池会所高区,新城碧翠,905万,"71,048元/平",高楼层 (共14层) | 2013年 | 3室2厅 | 127.38平米 | 南 北,25人关注 / 4月前发布
全明户型，双南大两房，产权清晰,https://sh.ke.com/ershoufang/107114168098.html,,栖山路450弄,388万,"51,900元/平",高楼层 (共6层) | 1995年 | 2室1厅 | 74.76平米 | 南,56人关注 / 4月前发布
次顶楼书本还在 位置小区C位 采光好无遮挡,https://sh.ke.com/ershoufang/107114157357.html,位置小区,汇成五村,265万,"79,342元/平",高楼层 (共6层) | 1993年 | 1室1厅 | 33.4平米 | 南,31人关注 / 5月前发布
这套房子大阳台大采光面日照充足户型布局合理,https://sh.ke.com/ershoufang/107114156799.html,,唐丰苑,230万,"39,800元/平",高楼层 (共14层) | 2014年 | 1室1厅 | 57.79平米 | 南,32人关注 / 5月前发布
"高区视野全明户型,朝东南看小区花园,得房率近80%",https://sh.ke.com/ershoufang/107114146336.html,"高区视野全明户型,朝东南看小区",远中风华园(公寓),815万,"110,629元/平",高楼层 (共25层) | 2006年 | 1室2厅 | 73.67平米 | 东南,85人关注 / 5月前发布
观景楼复式，买一加一，近万嘉交通方便,https://sh.ke.com/ershoufang/107114143596.html,,高行家园,350万,"42,809元/平",高楼层 (共6层) | 2008年 | 3室1厅 | 81.76平米 | 南,37人关注 / 5月前发布
稀有南北通一梯两户高得房率4楼3房，花园位置易停车,https://sh.ke.com/ershoufang/107114143407.html,,永和三村,408万,"49,982元/平",中楼层 (共6层) | 1996年 | 3室1厅 | 81.63平米 | 南 北,28人关注 / 5月前发布
*房源 德式小镇 低密度洋房,https://sh.ke.com/ershoufang/107114133863.html,,安亭新镇波恩风情,322万,"36,047元/平",中楼层 (共5层) | 2017年 | 3室1厅 | 89.33平米 | 南 北,30人关注 / 5月前发布
地铁口全名格局南北精装电梯大两房,https://sh.ke.com/ershoufang/107114122582.html,,水清年华花园,456万,"46,446元/平",低楼层 (共11层) | 2005年 | 2室2厅 | 98.18平米 | 南,76人关注 / 5月前发布
必卖好房 好地段经典一房简装 近地铁 税费少 看房方便,https://sh.ke.com/ershoufang/107114121053.html,,汇枫景苑,185万,"34,146元/平",低楼层 (共18层) | 2015年 | 1室1厅 | 54.18平米 | 南,36人关注 / 5月前发布
随时看龙湖天街旁+电梯一房南北+国妇婴BRT次新小区,https://sh.ke.com/ershoufang/107114116265.html,随时看龙湖天街旁+电梯一房南北+国妇婴BRT次新小区,亚通汇雅苑,75万,"12,346元/平",低楼层 (共24层) | 2021年 | 1室1厅 | 60.75平米 | 南,95人关注 / 5月前发布
此房满五年 精装修 边套 低楼层 近地铁、医院、菜场,https://sh.ke.com/ershoufang/107114110118.html,,同济公寓,155万,"32,312元/平",低楼层 (共6层) | 1996年 | 1室1厅 | 47.97平米 | 南,20人关注 / 5月前发布
久阳为数不多的、靠别墅位置两房、业主出国诚意卖,https://sh.ke.com/ershoufang/107114102268.html,,久阳文华府邸(公寓),308万,"33,334元/平",低楼层 (共11层) | 2008年 | 2室2厅 | 92.4平米 | 南,11人关注 / 5月前发布
如果您相信一见钟情 那么这套就是梦中情房 包满意,https://sh.ke.com/ershoufang/107114101737.html,,金地褐石苑,536万,"48,999元/平",高楼层 (共18层) | 2016年 | 3室2厅 | 109.39平米 | 南 北,10人关注 / 5月前发布
近内环 地铁口 2013次新 有会所 有车位 景观视野好,https://sh.ke.com/ershoufang/107114093260.html,,凯德嘉博名邸,785万,"84,111元/平",中楼层 (共16层) | 2012年 | 2室2厅 | 93.33平米 | 南 北,189人关注 / 5月前发布
房子精装修的，诚心出售，价格可谈，好位置好楼层！,https://sh.ke.com/ershoufang/107114084240.html,浦江瑞和城柒街区,浦江瑞和城柒街区,172万,"23,873元/平",中楼层 (共18层) | 2016年 | 2室1厅 | 72.05平米 | 南,52人关注 / 5月前发布
万达商圈、次新房、高品质小区、南北通,https://sh.ke.com/ershoufang/107114082735.html,万达商圈、次新房、高品质小区,湖山香颂湾东区,378万,"29,823元/平",高楼层 (共18层) 3室2厅 | 126.75平米 | 南 北,28人关注 / 5月前发布
房子满五年税费少，中间楼层采光好,https://sh.ke.com/ershoufang/107114082276.html,,紫薇新村,205万,"31,529元/平",低楼层 (共6层) | 1995年 | 2室1厅 | 65.02平米 | 南,34人关注 / 5月前发布
地铁口，大两房，业主诚意出售，满五年,https://sh.ke.com/ershoufang/107114080869.html,,水清年华花园,438万,"46,325元/平",低楼层 (共11层) | 2007年 | 2室2厅 | 94.55平米 | 南,91人关注 / 5月前发布
耀华路地铁口+上南二村+南北两房,https://sh.ke.com/ershoufang/107114078942.html,,上南二村,223万,"46,103元/平",高楼层 (共6层) | 1981年 | 2室1厅 | 48.37平米 | 南,37人关注 / 5月前发布
湖景房 景观楼层 三开间朝南 视野好 看房有密码,https://sh.ke.com/ershoufang/107114072219.html,,紫竹半岛花园,666万,"76,464元/平",高楼层 (共18层) | 2013年 | 2室2厅 | 87.1平米 | 南,114人关注 / 5月前发布
2009年电梯洋房，层高4。5米小区位置佳,https://sh.ke.com/ershoufang/107114069563.html,2009年电梯洋房，层高4。5米小区,天鹅泉公寓,446万,"46,094元/平",高楼层 (共6层) | 2009年 | 2室2厅 | 96.76平米 | 南,9人关注 / 5月前发布
店长优选 一室一厅 中间楼 近地铁、医院、菜场 位置好,https://sh.ke.com/ershoufang/107114069499.html,,宝钢十一村,106万,"28,899元/平",中楼层 (共6层) | 1984年 | 1室1厅 | 36.68平米 | 南,11人关注 / 5月前发布
楼层好视野好采光好。购房成本低。电梯一房就在地铁口,https://sh.ke.com/ershoufang/107114068919.html,,宝祁雅苑,188万,"36,755元/平",中楼层 (共18层) | 2015年 | 1室1厅 | 51.15平米 | 南 北,93人关注 / 5月前发布
